"filename", "language", "C++", "CMake", "Dart", "JSON", "YAML", "Markdown", "Swift", "XML", "Properties", "HTML", "comment", "blank", "total"
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\widgets\s_cart_item.dart", "Dart", 0, 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 3, 75
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\cart\widgets\x_cartitem.dart", "Dart", 0, 0, 36, 0, 0, 0, 0, 0, 0, 0, 1, 3, 40
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\checkout\check_out.dart", "Dart", 0, 0, 73, 0, 0, 0, 0, 0, 0, 0, 4, 4, 81
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\checkout\widgets\billing_address_section.dart", "Dart", 0, 0, 44, 0, 0, 0, 0, 0, 0, 0, 0, 3, 47
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\checkout\widgets\billing_amount_section.dart", "Dart", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 3, 38
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\checkout\widgets\billing_payment_section.dart", "Dart", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\home\home.dart", "Dart", 0, 0, 79, 0, 0, 0, 0, 0, 0, 0, 7, 4, 90
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\home\widget\home_appbar.dart", "Dart", 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 3, 40
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\home\widget\home_categories.dart", "Dart", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\home\widget\promo_slider.dart", "Dart", 0, 0, 50, 0, 0, 0, 0, 0, 0, 0, 0, 3, 53
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\home\widget\s_catogries.dart", "Dart", 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 3, 45
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\order\order.dart", "Dart", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\order\widgets\s.order.list.dart", "Dart", 0, 0, 106, 0, 0, 0, 0, 0, 0, 0, 0, 4, 110
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\product_attributes.dart", "Dart", 0, 0, 115, 0, 0, 0, 0, 0, 0, 0, 2, 4, 121
"d:\Profesional Flutter project Structure\s_store\lib\fetaures\shop\screens\product_detail\product_detail.dart", "Dart", 0, 0, 92, 0, 0, 0, 0, 0, 0, 0, 4, 6, 102
